                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9084,                 5.2337,                  2.671,                      0,                      0,                      0,                      0,                  3.965,                 4.6447,                 2.9312,                      0,                      0,                      0
                      2,                 2.9874,                 5.1515,                 2.4682,                      0,                      0,                      0,                      0,                 3.9751,                 4.6569,                 2.9202,             1.1115e-06,             1.1115e-06,             1.1115e-06
                      3,                  3.386,                 5.7393,                 2.5562,                      0,                      0,                      0,                      0,                 4.0021,                 4.6613,                 2.9497,             2.0658e-06,             2.0658e-06,             2.0658e-06
                      4,                   2.33,                  5.144,                 2.2164,                      0,                      0,                      0,                      0,                 4.0002,                 4.6731,                 2.9401,             2.8631e-06,             2.8631e-06,             2.8631e-06
                      5,                  2.298,                 5.3666,                 2.2648,                      0,                      0,                      0,                      0,                 4.0018,                 4.6705,                 2.9415,             3.5034e-06,             3.5034e-06,             3.5034e-06
                      6,                 2.9771,                 5.7183,                 2.8983,                      0,                      0,                      0,                      0,                 3.9792,                 4.6663,                 2.9523,             3.9865e-06,             3.9865e-06,             3.9865e-06
                      7,                 3.6991,                 6.2475,                  3.272,                      0,                      0,                      0,                      0,                 3.9456,                  4.656,                 2.9512,             4.3126e-06,             4.3126e-06,             4.3126e-06
                      8,                 2.9956,                 5.7389,                   2.95,                      0,                      0,                      0,                      0,                 3.9639,                 4.6617,                 2.9567,             4.4815e-06,             4.4815e-06,             4.4815e-06
                      9,                 3.0045,                 5.8534,                 2.7188,                      0,                      0,                      0,                      0,                 3.9876,                 4.6662,                 2.9518,             4.4934e-06,             4.4934e-06,             4.4934e-06
                     10,                 3.2708,                 5.9289,                 3.1629,                      0,                      0,                      0,                      0,                 4.0277,                 4.6711,                  2.963,             4.3483e-06,             4.3483e-06,             4.3483e-06
                     11,                  3.416,                 6.0499,                 3.1999,                      0,                      0,                      0,                      0,                 4.0677,                 4.6813,                 2.9541,              4.046e-06,              4.046e-06,              4.046e-06
                     12,                 3.3917,                  6.025,                 3.0235,                      0,                      0,                      0,                      0,                 4.0811,                 4.6768,                 2.9635,             3.5867e-06,             3.5867e-06,             3.5867e-06
                     13,                  2.804,                 5.9076,                 2.6965,                      0,                      0,                      0,                      0,                 4.1018,                 4.6818,                 2.9651,             2.9702e-06,             2.9702e-06,             2.9702e-06
                     14,                 3.0034,                 6.0405,                 2.5347,                      0,                      0,                      0,                      0,                  4.119,                 4.6836,                 2.9701,             2.1967e-06,             2.1967e-06,             2.1967e-06
                     15,                 3.1877,                 6.1798,                 3.0939,                      0,                      0,                      0,                      0,                 4.1384,                 4.6881,                 2.9664,             1.2662e-06,             1.2662e-06,             1.2662e-06
